City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
209,Longyearbyen,SJ,2022-01-09 23:50:29,78.2186,15.6401,22.84,86,75,11.5
210,Tucurui,BR,2022-01-09 23:50:29,-3.7661,-49.6725,71.65,97,100,2.19
211,Palu,ID,2022-01-09 23:50:30,-0.8917,119.8707,81.7,73,71,2.01
212,Meulaboh,ID,2022-01-09 23:50:30,4.1363,96.1285,74.75,94,100,3.67
213,Quelimane,MZ,2022-01-09 23:50:31,-17.8786,36.8883,75.15,94,40,0.0
214,Leo,BF,2022-01-09 23:50:31,11.1,-2.1,69.51,17,23,8.46
215,Chato,TZ,2022-01-09 23:50:32,-2.6378,31.7669,66.43,51,92,3.24
216,Banjar,ID,2022-01-09 23:50:32,-8.19,114.9675,78.66,84,100,3.02
217,Bubaque,GW,2022-01-09 23:50:32,11.2833,-15.8333,79.52,69,96,18.81
218,Buraydah,SA,2022-01-09 23:50:33,26.326,43.975,61.25,37,71,11.83
219,Kaitangata,NZ,2022-01-09 23:50:34,-46.2817,169.8464,67.93,82,59,6.64
220,Dindigul,IN,2022-01-09 23:50:34,10.35,77.95,67.98,90,52,0.81
221,Phuthaditjhaba,ZA,2022-01-09 23:50:35,-28.5242,28.8158,56.89,92,51,3.44
222,Kapustin Yar,RU,2022-01-09 23:50:35,48.5831,45.7372,26.74,57,100,13.67
223,Poum,NC,2022-01-09 23:51:35,-20.2333,164.0167,82.36,72,7,8.57
224,Urumqi,CN,2022-01-09 23:51:36,43.801,87.6005,2.35,85,3,2.24
225,Goderich,CA,2022-01-09 23:50:08,43.7501,-81.7165,24.91,63,100,23.02
226,Igarka,RU,2022-01-09 23:51:36,67.4667,86.5833,-1.57,98,100,6.64
227,Bandarbeyla,SO,2022-01-09 23:51:37,9.4942,50.8122,75.56,66,37,19.48
228,Korla,CN,2022-01-09 23:51:37,41.7597,86.1469,23.95,63,100,5.57
229,Norman Wells,CA,2022-01-09 23:51:38,65.282,-126.8329,-32.76,68,75,5.75
230,Praia Da Vitoria,PT,2022-01-09 23:51:38,38.7333,-27.0667,57.76,94,75,17.31
231,Popondetta,PG,2022-01-09 23:51:39,-8.7537,148.2534,88.0,58,88,3.13
232,Taoudenni,ML,2022-01-09 23:51:39,22.6783,-3.9836,54.93,19,44,11.79
233,Litovko,RU,2022-01-09 23:51:39,49.2361,135.1742,-21.08,99,89,1.59
234,Egvekinot,RU,2022-01-09 23:51:40,66.3167,-179.1667,-8.36,58,0,13.18
235,Daru,PG,2022-01-09 23:51:40,-9.0763,143.2092,81.99,74,100,9.01
236,Pangody,RU,2022-01-09 23:51:41,65.85,74.4859,-9.02,95,98,8.39
237,Upernavik,GL,2022-01-09 23:51:41,72.7868,-56.1549,1.06,98,100,11.34
238,Ixtapa,MX,2022-01-09 23:51:42,20.7,-105.2,75.22,86,85,4.0
239,Chokurdakh,RU,2022-01-09 23:51:42,70.6333,147.9167,-26.9,97,12,8.03
240,Safaga,EG,2022-01-09 23:51:43,26.7292,33.9365,62.55,54,96,1.3
241,Tuy Hoa,VN,2022-01-09 23:51:43,13.0833,109.3,73.11,89,77,3.8
242,Katsuura,JP,2022-01-09 23:51:44,35.1333,140.3,51.19,81,100,22.5
243,Bouna,CI,2022-01-09 23:51:45,9.2667,-3.0,74.73,20,30,6.42
244,Monterey,US,2022-01-09 23:51:45,36.2505,-121.2516,62.37,51,29,3.22
245,Ondjiva,AO,2022-01-09 23:51:45,-17.0667,15.7333,70.56,60,100,7.54
246,Ambilobe,MG,2022-01-09 23:51:46,-13.2,49.05,74.52,94,100,1.16
247,Karaj,IR,2022-01-09 23:51:46,35.8355,51.0103,36.12,56,1,4.61
248,Soma,TR,2022-01-09 23:51:47,39.1855,27.6094,48.99,87,99,3.42
249,Aklavik,CA,2022-01-09 23:51:47,68.2191,-135.0107,-24.77,98,9,3.0
250,Vardo,NO,2022-01-09 23:51:48,70.3705,31.1107,19.6,88,100,12.75
251,Naze,JP,2022-01-09 23:51:48,28.3667,129.4833,58.12,74,98,10.45
