City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
402,Sao Filipe,CV,71.01,broken clouds,14.8961,-24.4956,Hotel Xaguate
410,Santa Fe,AR,85.01,clear sky,-31.6333,-60.7,Conquistador Hotel
411,Buala,SB,83.05,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
424,Anuradhapura,LK,70.29,broken clouds,8.3565,80.4173,Nilketha Villa Eco Hotel
431,Pinotepa Nacional,MX,89.04,clear sky,16.3167,-98.0167,Hotel Maria Del Carmen
436,Pemba,MZ,77.65,light rain,-12.974,40.5178,Guesthouse Samotina
440,Caravelas,BR,77.31,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
444,Cotonou,BJ,81.18,broken clouds,6.3654,2.4183,Novotel Cotonou Orisha
445,Pandan,PH,77.49,overcast clouds,14.0453,124.1694,Bonifacio Lodge
450,Chokwe,MZ,73.67,scattered clouds,-24.5333,32.9833,Complexo Sonho Real
452,Puerto Baquerizo Moreno,EC,81.59,broken clouds,-0.9,-89.6,Hotel los Algarrobos
454,Mahibadhoo,MV,80.87,clear sky,3.7833,72.9667,Omadhoo Inn
457,Ilo,PE,73.06,overcast clouds,-17.6394,-71.3375,Torreblanca Hotel
461,Banda Aceh,ID,78.01,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
470,Morondava,MG,81.99,overcast clouds,-20.2833,44.2833,La Case Bambou
472,Conde,BR,81.86,few clouds,-7.2597,-34.9075,Pousada Beija Flor
473,Katobu,ID,74.37,overcast clouds,-4.9408,122.5276,La Ode Husein
475,Diamantino,BR,74.1,broken clouds,-14.4086,-56.4461,Hotel Delta
477,Namatanai,PG,81.12,light rain,-3.6667,152.4333,Seagulls Inn Namatani
479,Dingle,PH,73.76,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
482,Tabou,CI,78.6,overcast clouds,4.423,-7.3528,hotêl doufoulougou
487,Doka,SD,74.23,few clouds,13.5167,35.7667,Um Rakuba Refugee Camp
492,Bandarbeyla,SO,76.71,few clouds,9.4942,50.8122,JABIR HOTEL
498,Bosaso,SO,74.05,clear sky,11.2842,49.1816,Red Sea Hotel
499,Quatre Cocos,MU,80.1,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
500,Sobradinho,BR,75.6,scattered clouds,-12.8333,-39.1,Pousada Pau Brasil
502,Kapit,MY,70.75,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
505,Rafaela,AR,88.93,clear sky,-31.2503,-61.4867,Parra Hotel & Suites
506,Dibulla,CO,84.22,scattered clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
511,Nampula,MZ,75.15,thunderstorm,-15.1165,39.2666,Ruby Backpackers
513,Omboue,GA,78.49,overcast clouds,-1.5746,9.2618,Hotel Olako
517,Ciudad Bolivar,VE,87.64,overcast clouds,8.1222,-63.5497,Hotel Edi
518,Paracuru,BR,83.1,clear sky,-3.41,-39.0306,Hotel Vento Brasil
520,Kieta,PG,83.3,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
521,Liwale,TZ,71.38,overcast clouds,-9.7667,37.9333,Samoma lodge
523,Dondo,MZ,81.91,few clouds,-19.6094,34.7431,Arco Iris
526,Arlit,NE,70.81,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
527,Sibolga,ID,75.88,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
531,Warah,PK,70.56,clear sky,27.4481,67.7978,Nizamuddin Lohaar Home Soomra Muhallah Bhittai Colony Warah.
532,Mlimba,TZ,71.92,overcast clouds,-8.8,35.8167,California Lodge
534,Gwadar,PK,73.9,clear sky,25.1216,62.3254,Sadaf Resort
535,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
536,Jember,ID,73.8,overcast clouds,-8.166,113.7032,Cempaka Hill Hotel Jember
539,Garowe,SO,70.52,clear sky,8.4054,48.4845,Curubo Hotel
540,Xai-Xai,MZ,74.91,broken clouds,-25.0519,33.6442,Complexo da Familia
542,Maxixe,MZ,74.59,few clouds,-23.8597,35.3472,Oceano
543,Balsas,BR,77.59,scattered clouds,-7.5325,-46.0356,Novo Hotel
